Industry,Loans,JobsRetained,JobsPerLoan
"Professional services, research, & IT",528391,4558974,8.628031136033732
Other,497728,4425858,8.89212180146586
Healthcare,422974,7052331,16.673202135355837
Construction,387810,4777952,12.320342435728836
Retail,381133,4466217,11.71826370322171
Restaurants & hospitality,311805,7133099,22.876794791616554
Real estate,204003,1379370,6.761518212967457
Administrative support,198557,2851569,14.361462955221926
Manufacturing,195958,4316136,22.02582185978628
Logistics,150690,1561370,10.361470568717234
Wholesale trade,141282,2200202,15.573123257032035
Finance & insurance,139727,935968,6.698547882656896
Agriculture,120658,982294,8.14114273400852
NA,100882,791337,7.8441842945223135
Entertainment & recreation,95425,1244052,13.036960964107939
